,Cost
179,0.4263409649873039
180,0.4162091813955349
181,0.4305657008837015
182,0.4140567591496163
183,0.423214587528874
184,0.4224185646276227
185,0.4124297134618752
186,0.431500539030351
187,0.4015411848847869
188,0.4236565477443882
189,0.4037736176304044
190,0.4196808441133677
191,0.4309193691797403
192,0.422285883877232
193,0.3998740336589821
194,0.4077573908569122
195,0.4236613082535274
196,0.4172708926305034
197,0.4066350320771301
198,0.4309139781367364
199,0.4338217208405754
200,0.4225728242586141
201,0.4266071202040076
202,0.4259501512901288
203,0.4119108433044645
204,0.4196423154006061
205,0.4337308064416599
206,0.427311142947966
207,0.4169047052210005
208,0.4130735034081131
209,0.4255099744175733
210,0.4320863578654907
211,0.4077671079666985
212,0.4218685237927128
213,0.4204278580946649
214,0.4191900824769658
215,0.4166117639801576
216,0.4247509825735023
217,0.3891697375825071
218,0.4214586240417147
219,0.4224126772285973
220,0.4281735798495812
221,0.4326829053961327
222,0.4296526403932047
223,0.4203492069833853
224,0.4158198820721293
225,0.4457636609134527
226,0.4449113311009564
227,0.4397305111234794
228,0.4559002315124234
229,0.4439393189917536
230,0.4650393006487208
231,0.440558606829087
232,0.4555977456042448
233,0.4092739505667174
234,0.4477603646281736
235,0.4603787634347799
236,0.4509793758026018
237,0.4649424957732903
238,0.4497199035810784
239,0.4523324594421014
240,0.4638712193289179
241,0.4409882524489379
242,0.4590451027956851
243,0.4412246716402976
244,0.4407946761973957
245,0.4506998435661474
246,0.4188844362306574
247,0.4487509764737203
248,0.4636184891262267
249,0.4430371659725842
250,0.4415160903612663
251,0.4620478253070739
252,0.4633835313035081
253,0.455490078904558
254,0.4638402339848078
255,0.4629453292434033
256,0.4630540095993912
257,0.4246559890476408
258,0.4516699273459282
259,0.4529663825368132
260,0.4184488724386845
261,0.4385715495740451
262,0.4001682711817015
263,0.4440017894153917
264,0.459316661355707
265,0.4548451432204429
266,0.4341669605048812
267,0.4415408202647042
268,0.4525193461729117
269,0.4538969109444284
315,0.6499659158419921
316,0.651851756570473
317,0.6543943537189109
318,0.6486401987166279
319,0.6455586770150468
320,0.6219616962595476
321,0.6511322641515345
322,0.6198727288032437
323,0.6260174636282085
324,0.5987336652297398
325,0.6532046792525552
326,0.6010661023861003
327,0.6253156014396567
328,0.6372304360004943
329,0.6185573202235286
330,0.6477754663699686
331,0.6120876708828566
332,0.6153094354447155
333,0.6503772094915488
334,0.6136143505095513
335,0.6215195922704027
336,0.6223900850372512
337,0.6237159615151399
338,0.6371398215086015
339,0.5579444971448162
340,0.6141297740018594
341,0.6371355457574297
342,0.6070610258670731
343,0.6482058240471549
344,0.6467254468841431
345,0.6123052968840648
346,0.5789021630262603
347,0.6366392410354369
348,0.6471564566126455
349,0.6230368738260824
350,0.6320398318269452
351,0.6324585482216138
352,0.6456704939606555
353,0.6071056430838981
354,0.6477495378986395
355,0.6514820991470176
356,0.6400453758873804
357,0.5973429495705656
358,0.6195101276866686
359,0.5597924293904345
360,0.4396824377680198
361,0.4431503603402527
362,0.4652584469307159
363,0.4430490555794208
364,0.4689264722506144
365,0.4606133003498078
366,0.4644926077150054
367,0.4617435188830224
368,0.4529924985867172
369,0.4647496669863753
370,0.4498990254250413
371,0.4540099174568142
372,0.4572994261467181
373,0.4647524239537814
374,0.4427763080760272
375,0.4357280860353987
376,0.461141739786149
377,0.4666041592638669
378,0.4309450225397305
379,0.4411328759778812
380,0.4427410053256707
381,0.4432599452936239
382,0.4657527849194574
383,0.443196800987758
384,0.4675532564677275
385,0.4503924542220733
386,0.4673831380110874
387,0.4694948726008938
388,0.4647814884561843
389,0.4438130955090696
390,0.4611062426058506
391,0.44481874613549
392,0.4447513244999764
393,0.4696833954848545
394,0.4491829823072567
395,0.4592557140836554
396,0.4560046242574557
397,0.4561615255237993
398,0.4562239628158042
399,0.4607274476337907
400,0.4545148771393231
401,0.4458359118125613
402,0.4674307043553102
403,0.462345235157635
404,0.4473535504144283
405,0.4182445738188489
406,0.4250767922115606
